source,source_name,target,target_name,share,via
1231,聯華食,B2B,Food Service (餐飲通路),約 1% (業務用),"海苔, 堅果原料"
1231,聯華食,Watsons,Drugstores (藥妝),約 1% (健康零食),無調味堅果
1231,聯華食,Priv.,Others (其他),約 1-2% (其他),其他
1301,台塑,2460,建通,,塑膠粒 (部分製程)
1301,台塑,3003,健和興,,工程塑膠
1301,台塑,3532,台勝科,,多晶矽/化學品 (關聯企業)
1301,台塑,3665,貿聯-KY,,"PVC, PP 塑膠粒"
1301,台塑,4303,信立,,PVC粉/PPG
1301,台塑,4722,國精化,,丙烯酸/溶劑
1301,台塑,,Nan Ya Plastics,,PVC/PE/PP
1301,台塑,,Shoe/Pipe Makers,,Plastics Resins
1303,南亞,1301,台塑,約 3-5% (集團),管材加工
1303,南亞,1476,儒鴻,,聚酯原絲
1303,南亞,1477,聚陽,,"聚酯纖維, 機能布料"
1303,南亞,1717,長興,,聚酯薄膜 (乾膜光阻基材)
1303,南亞,2313,華通,,"銅箔, 玻纖布"
1303,南亞,2316,楠梓電,,玻纖布/CCL
1303,南亞,2355,敬鵬,,銅箔基板
1303,南亞,2367,燿華,,銅箔基板/銅箔
1303,南亞,2408,南亞科,,電子級化學品/銅箔
1303,南亞,3037,欣興,,"CCL, 銅箔"
1303,南亞,3044,健鼎,,"CCL, 玻纖布, 環氧樹脂"
1303,南亞,3189,景碩,,銅箔基板 (CCL)
1303,南亞,3708,上緯投控,,環氧樹脂原料/BPA
1303,南亞,4126,太醫,,PVC膠粒
1303,南亞,4303,信立,,PVC粉/可塑劑
1303,南亞,4722,國精化,,化工原料
1303,南亞,4927,泰鼎-KY,,銅箔基板/玻纖布
1303,南亞,5340,建榮,,環氧樹脂
1303,南亞,5439,高技,,玻璃纖維布/CCL
1303,南亞,5469,瀚宇博,,銅箔基板 (CCL)
1303,南亞,5498,凱崴,,銅箔基板 (代理)
1303,南亞,6108,競國,,銅箔基板 (CCL)
1303,南亞,6191,精成科,,銅箔基板 (CCL)
1303,南亞,6213,聯茂,,銅箔/玻纖布/樹脂
1303,南亞,6515,穎崴,,工程塑膠 (Socket 材料)
1303,南亞,8046,南電,,環氧樹脂/銅箔 (集團)
1303,南亞,9904,寶成,,PU樹脂/人造皮
1303,南亞,9910,豐泰,,人造纖維
1303,南亞,9938,百和,,聚酯纖維/工業用紗
1303,南亞,9939,宏全,,PET粒/PP粒 (瓶胚/瓶蓋)
1303,南亞,Unimicron/Kinsus,PCB Manufacturers (電路板廠),約 40-42% (電子主力),"銅箔基板 (CCL), 玻纖布, 環氧樹脂"
1303,南亞,Global,Chemical Clients (化工客戶),約 22-23% (化工),"乙二醇 (EG), 雙酚A (BPA), 可塑劑"
1303,南亞,Far Eastern,Textile/Packaging (紡織/包裝),約 18-19% (聚酯),"聚酯粒, 聚酯纖維, PET膜"
1303,南亞,Construction,Plastic Processing (塑膠加工),約 15-16% (加工),"塑膠管材, 膠皮, 門窗"
1303,南亞,US/Korea,Server/AI Supply Chain (伺服器),約 5-8% (高階電子),"高頻高速 CCL, 銅箔"
1303,南亞,Evs,Automotive Electronics (車用),約 2-3% (電子),"車用厚銅箔, 電路板材料"
1303,南亞,Priv.,Green Energy (綠能),約 1-2% (電子),"太陽能背板, 風電材料"
1303,南亞,Priv.,Construction (營建),約 1-2% (塑膠),"SMC慶祥門, 地板"
1303,南亞,Priv.,Others (其他),約 2% (機電等),"配電盤, 工程服務"
1303,南亞,1303,南亞,,"乙二醇 (EG), 雙酚A (BPA)"
1305,華夏,1301,台塑,約 5-6% (集團),AN 用丙烯等
1305,華夏,1303,南亞,約 10-12% (集團),"PTA (聚酯原料), 乙二醇"
1305,華夏,1319,東陽,,"PP, ABS (塑膠粒)"
1305,華夏,Nan Ya/1303,Petrochemical Clients (石化同業),約 58% (主力),"PTA, SM, 苯酚, 芳香烴"
1305,華夏,Appliance/Auto,Plastics Industry (塑膠加工),約 23-24% (塑膠),"ABS, PS, PP (家電外殼/汽車)"
1305,華夏,Far Eastern,Textile Industry (紡織業),約 12-15% (紡纖),"聚酯棉, 嫘縈棉, 尼龍粒"
1305,華夏,Ningbo,Mainland China Market (大陸內銷),約 33% (區域),"PTA, ABS, 酚酮 (寧波廠)"
1305,華夏,Haier/Midea,Appliance Makers (家電廠),約 5-8% (ABS),ABS 樹脂 (機殼)
1305,華夏,Priv.,Packaging Industry (包裝),約 2-3% (PS),PS (免洗餐具/包材)
1305,華夏,Maxxis/Kenda,Tire Industry (輪胎),約 1-2% (簾布),輪胎簾布 (高值化)
1305,華夏,Priv.,Others (其他),約 1-2% (其他),公用流體銷售
1305,華夏,1305,華夏,,"苯, 對二甲苯 (自產原料)"
1314,中石化,1305,華夏,約 5-8% (同業),石化中間體
1314,中石化,1455,集盛,約 10-15% (CPL),CPL (尼龍原料)
1314,中石化,Li Peng/1447,Nylon Filament Makers (尼龍紡絲),約 30-35% (CPL/尼龍粒),"己內醯胺 (CPL), 尼龍粒"
1314,中石化,Formosa/Chi Mei,ABS/Acrylic Fiber (ABS/亞力克棉),約 30-35% (AN),丙烯腈 (AN)
1314,中石化,Priv.,Land Development (土地開發),約 5-10% (資產),京華城/高雄土地開發
1314,中石化,Rudong,China Market (大陸內銷),約 5-8% (威名石化),"環己酮, PA6"
1314,中石化,Nantex,NBR Latex (手套原料),約 2-3% (AN),AN (合成橡膠)
1314,中石化,Priv.,OPP (光學),約 1-2% (精細化工),"OPP, 高值化產品"
1314,中石化,Taifer,Fertilizer (肥料),約 1% (副產),硫酸銨
1314,中石化,Priv.,Others (其他),約 1-2% (其他),其他化學品
1319,東陽,State Farm,AM Market - USA (美國售後),約 70-73% (AM主力),"AM保險桿, 鈑金件 (State Farm認證)"
1319,東陽,FAW/Changan,OEM - China Aggregates (大陸車廠),約 15-18% (OEM),"OEM保險桿, 儀表板 (一汽/長安)"
1319,東陽,Nissan/Toyota,OEM - Taiwan (台灣車廠),約 8-10% (OEM),"國產車保險桿,內裝件"
1319,東陽,Global,AM Market - Europe/Others (非美售後),約 5-8% (AM),AM碰撞件 (非美規)
1319,東陽,TSLA,Tesla (特斯拉),約 3-5% (EV OEM),上海廠零組件 (塑膠件)
1319,東陽,VOW3,Volkswagen (大眾汽車),約 2-3% (OEM),合肥廠零組件
1319,東陽,NSU,Audi (奧迪),約 1-2% (OEM),長春廠電動車零件
1319,東陽,Priv.,Motorcycle Parts (機車),約 1% (OEM),機車塑膠件
1319,東陽,Priv.,Cooling System Clients (冷卻),約 1% (AM),風扇馬達 (轉投資)
1319,東陽,Priv.,Others (其他),約 1% (模具等),模具外銷
1326,台化,1301,台塑,約 5-6% (集團),AN 用丙烯等
1326,台化,1303,南亞,約 10-12% (集團),"PTA, 乙二醇"
1326,台化,1477,聚陽,,人造纖維原料 (PTA/EG)
1326,台化,1717,長興,,"苯乙烯 (SM), 酚, 丙酮 (樹脂原料)"
1326,台化,2207,和泰車,,PP塑膠原料 (內裝/保險桿)
1326,台化,3708,上緯投控,,苯乙烯單體 (SM)
1326,台化,Nan Ya/1303,Petrochemical Clients (石化同業),約 58% (石化主力),"PTA, SM, 苯酚, 芳香烴"
1326,台化,Appliance/Auto,Plastics Industry (塑膠加工),約 23-24% (塑膠),"ABS, PS, PP (家電外殼/汽車)"
1326,台化,Far Eastern,Textile Industry (紡織業),約 12-15% (紡纖),"聚酯棉, 嫘縈棉, 尼龍粒"
1326,台化,Ningbo,Mainland China Market (大陸內銷),約 33% (區域),"PTA, ABS, 酚酮 (寧波廠)"
1326,台化,Haier/Midea,Appliance Makers (家電廠),約 5-8% (ABS),ABS 樹脂 (機殼)
1326,台化,Priv.,Packaging Industry (包裝),約 2-3% (PS),PS (免洗餐具/包材)
1326,台化,Maxxis/Kenda,Tire Industry (輪胎),約 1-2% (簾布),輪胎簾布
1326,台化,Priv.,Others (其他),約 1-2% (其他),公用流體銷售
1402,遠東新,1419,新紡,,PTA (純對苯二甲酸)
1402,遠東新,1476,儒鴻,,"環保紗線, 短纖紗"
1402,遠東新,1477,聚陽,,"環保紗線, 聚酯布種"
1402,遠東新,4904,遠傳,約 36% (電信事業),"5G, 電信服務 (獲利金雞母)"
1402,遠東新,9904,寶成,,鞋用纖維/布料
1402,遠東新,9938,百和,,紡織原料
1402,遠東新,9939,宏全,,PET酯粒
1402,遠東新,Coke/Pepsi,Beverage Brands (飲料大廠),約 20-25% (聚酯),"PET瓶用酯粒, rPET (環保粒)"
1402,遠東新,Nike/Adidas,Apparel Brands (服飾品牌),約 13% (紡織),"機能布料, 成衣 (海洋回收紗)"
1402,遠東新,Tire/Auto,Industrial Users (工業用),約 10-12% (化纖),"工業用紗, 輪胎簾布"
1402,遠東新,Tpark,Property Development (房產),約 4% (土地開發),遠東通訊園區 (租金/建案)
1402,遠東新,Priv.,Petrochemical Clients (石化),約 5% (銷售),PTA (部分外售)
1402,遠東新,Global,Green Products (綠色產品),約 33% (佔生產),"Bio-PET, 物理/化學回收"
1402,遠東新,Priv.,Medical/Hygiene (衛材),約 2-3% (纖維),複合纖維 (尿布/口罩)
1402,遠東新,SOGO/FEDjq,Retail/Group (集團綜效),約 1-2% (其他),"百貨, 投資收益"
1402,遠東新,Priv.,Others (其他),約 1-2% (其他),其他
1419,新紡,Tech/Auto,Plastics Clients (工程塑膠/瓶粒),約 64-65% (塑膠主力),"工程塑膠, 瓶用酯粒, 聚酯薄膜"
1419,新紡,Apparel,Fiber Clients (紡織化纖),約 18-19% (化纖),"聚酯長纖, 加工絲"
1419,新紡,Panel/Solar,Optoelectronics (光電材料),約 17-18% (光電),"光學膜, 擴散膜, TAC膜"
1419,新紡,Connector,AI Server Supply Chain (伺服器),預估成長 (工程塑膠),"連接器, 風扇扇葉 (高耐熱)"
1419,新紡,EV,Automotive (車用),約 5-8% (工程塑膠),"車用塑膠件, 電子材料"
1419,新紡,Beverage,Bottle Makers (製瓶廠),約 25-30% (瓶粒),PET 寶特瓶原料
1419,新紡,MasterLink,Financial/Securities (金融),N/A (轉投資),元富證券 (股利)
1419,新紡,Green Energy,Solar Backsheet (太陽能),約 2-3% (薄膜),太陽能背板 PET
1419,新紡,Recycle,Green Products (環保),約 5% (趨勢),化學回收聚酯 (cr-PET)
1419,新紡,Priv.,Others (其他),約 1-2% (其他),其他
1434,福懋,2105,正新,,輪胎簾布 (含回收材)
1434,福懋,9910,豐泰,,鞋材網布
1434,福懋,,Nike/Adidas/North Face,,Functional Fabrics
1434,福懋,,Apple (Potential),,Tire Cord/Textiles
1451,年興,,Levi's/Gap,,Jeans/Denim Fabrics
1476,儒鴻,1477,聚陽,,彈性針織布 (部分合作)
1476,儒鴻,COST,Costco (好市多),約 2-3% (通路),休閒服飾 (大量)
1476,儒鴻,NKE,Nike (耐吉),約 15-16% (最大客戶),高階機能運動服
1476,儒鴻,LULU,Lululemon (露露檸檬),約 10-11% (高成長),"瑜珈服, 運動機能服"
1476,儒鴻,UAA,Under Armour (UA),約 8-9% (主要客戶),"機能緊身衣, 運動服"
1476,儒鴻,Priv.,Six Little Giants (新客戶群),約 12-15% (高成長),中高價位機能服飾
1476,儒鴻,GAP,Athleta (Gap旗下),約 5-6% (女性運動),女性運動休閒服
1476,儒鴻,TGT,Target (塔吉特),約 5-6% (通路自有),All in Motion 系列
1476,儒鴻,ADS.DE,Adidas (愛迪達),約 2-3% (歐洲品牌),足球/訓練服
1476,儒鴻,Priv.,Patagonia,約 1-2% (戶外),環保機能戶外服
1476,儒鴻,Priv.,Other Brands (其他),約 30% (分散),各式成衣與布料銷售
1477,聚陽,LULU,Lululemon (露露檸檬),約 1% (運動),瑜珈/機能服 (測試單)
1477,聚陽,GAP,Athleta (Gap旗下),約 30-32% (最大客戶),"Old Navy/Gap 休閒服, 運動服 (Athleta)"
1477,聚陽,TGT,Target (塔吉特),約 17-19% (美系零售),自有品牌服飾 (All in Motion)
1477,聚陽,9983.T (Fast Retailing),Japanese Clients (日系客戶),約 19-20% (高成長),"GU/Uniqlo 休閒服, 機能內衣"
1477,聚陽,DKS,Dick's Sporting Goods (迪克斯),約 8-9% (運動通路),運動機能服飾 (VRST)
1477,聚陽,KSS,Kohl's (柯爾百貨),約 3-5% (百貨通路),休閒服飾
1477,聚陽,WMT,Walmart (沃爾瑪),約 3-5% (量販),平價服飾
1477,聚陽,HM-B.ST/ITX.MC,H&M / Inditex (Zara),約 2-3% (快時尚),流行服飾 (短交期)
1477,聚陽,UAA/NKE,Under Armour / Nike,約 1-2% (運動品牌),專業運動服 (少量多樣)
1477,聚陽,Amazon,E-commerce Clients (電商),約 1-2% (線上),基本款服飾
1503,士電,Taipower,Taipower (台電 - 強韌電網),約 66-70% (重電主力),"超高壓變壓器, 配電盤, 智慧電表"
1503,士電,SYM/Yamaha,Domestic Auto Makers (國內車廠),約 12-13% (車電),機車電裝品 (啟動馬達/磁電機)
1503,士電,Semi/Panel,Automation Clients (自動化),約 10-12% (自動化),"伺服馬達, PLC, 變頻器"
1503,士電,US/Canada,Export Market (重電外銷),約 5-8% (北美),大型變壓器 (綠能/基建)
1503,士電,CMC/Logistics,EV Supply Chain (電動車),約 3-4% (車電),EV動力系統 (物流車)
1503,士電,EPC,Solar/Energy Storage (綠能),約 2-3% (綠能),"升壓站設備, 統包工程"
1503,士電,Priv.,Construction (營建),約 1-2% (配電),"低壓開關, 斷路器"
1503,士電,Fair Friend,Machine Tool Makers (工具機),約 1-2% (自動化),"控制器, 驅動器"
1503,士電,Local,China Market (大陸內銷),約 2-3% (各部門),"電裝品, 自動化元件"
1503,士電,Priv.,Others (其他),約 1% (其他),其他
1504,東元,8926,台汽電,,機電工程
1504,東元,EPC,Solar/Energy Storage (綠能),約 8-9% (智慧能源),"IDC機房工程, 統包工程"
1504,東元,Global,Industrial Motor Clients (工業馬達),約 50-53% (機電),"高效率馬達, 減速機 (北美/歐洲)"
1504,東元,Consumers,Home Appliance Consumers (家電用戶),約 20-21% (智慧生活),"TECO冷氣, 冰箱, 變頻空調"
1504,東元,Taipower,Taipower/Green Energy (台電/綠能),約 10-12% (智慧能源),"離岸風電變電站, 強韌電網儲能"
1504,東元,Bus Makers,EV Powertrain (電動車動力),約 2-3% (機電),電動巴士動力系統 (印度/台灣)
1504,東元,B2B,Commercial AC (商用空調),約 2-3% (智慧生活),"大型冰水機, 商用空調"
1504,東元,宅配通,Logistics Services (物流),約 1-2% (其他),宅配服務 (轉投資)
1504,東元,Priv.,Financial/Software (金融/軟體),約 1% (其他),東捷資訊等 (轉投資)
1504,東元,Factories,Automation Solutions (自動化),約 1-2% (機電),"伺服驅動, AGV"
1504,東元,Priv.,Others (其他),約 1-2% (其他),其他
1513,中興電,Taipower,Taipower (台電 - 強韌電網),約 45-50% (重電主力),345kV/161kV GIS (氣體絕緣開關)
1513,中興電,Solar EPC,Green Energy Projects (綠能工程),約 20-30% (綠能),"太陽能電廠, 升壓站工程"
1513,中興電,Consumers,Dodohome Parking (嘟嘟房),約 15-20% (服務),停車場管理 (分拆上市計畫中)
1513,中興電,Telecom/Bus,Hydrogen Clients (氫能客戶),約 2-5% (成長中),"備援電力, 氫能巴士 (T-Mobile/Docomo)"
1513,中興電,TSMC,Semiconductor Fab (半導體廠),約 5% (重電),161kV GIS (建廠設備)
1513,中興電,AIDC (漢翔),Aerospace Clients (航太),約 1-2% (精密加工),"發動機葉片, 機體結構"
1513,中興電,Priv.,Maintenance Services (維保),約 2-3% (服務),設備維護
1513,中興電,iCharging,EV Charging (充電樁),約 1-2% (綠能),電動車充電站 (高速公路)
1513,中興電,Local,China Market (大陸內銷),約 2-3% (各部門),"GIS零組件, 精密加工"
1513,中興電,Priv.,Others (其他),約 1-2% (其他),其他
1515,力山,PTON,Peloton (派樂騰),約 40-50% (健身主力),"飛輪車, 跑步機 (代工)"
1515,力山,0669.HK,Techtronic Ind (創科實業),約 10-12% (工具機),"磁磚機, 電鋸 (Ryobi/Milwaukee等品牌)"
1515,力山,LOW,Lowe's (Kobalt),約 3-5% (工具機),電動工具 (Kobalt品牌)
1515,力山,Other Fitness,Technogym/Precor,約 5-8% (健身),商用健身器材
1515,力山,Priv.,Woodworking Clients (木工),約 2-3% (工具機),"圓鋸機, 線鋸機"
1515,力山,New,Drone Alliance (無人機),預估成長 (馬達),無人機馬達 (2025出貨)
1515,力山,Life/Global,Other Fitness Brands (其他健身),約 10-15% (健身),家用健身設備
1515,力山,Priv.,Garden Tools (園藝),約 1-2% (工具機),割草機等
1515,力山,Local,Domestic Market (國內市場),約 1-2% (自有品牌),健身機/工具機
1515,力山,Priv.,Others (其他),約 8% (其他),其他
1519,華城,TSMC,Semiconductor Fab (半導體廠),約 2-3% (設備),特高壓變壓器 (建廠)
1519,華城,US Utilities,US Market (美國電力公司),約 40-45% (外銷主力),大型變壓器 (電網汰換/AI資料中心)
1519,華城,Taipower,Taipower (台電 - 強韌電網),約 30-35% (內銷主力),"161kV/345kV 變壓器, 亭置式變壓器"
1519,華城,E-Value,Fortune Electric Energy (華城電能),約 5-8% (充電樁),AC/DC 充電樁 (E-Value品牌 30-40%市佔)
1519,華城,Solar/Wind,Green Energy Projects (綠能案場),約 10-12% (工程),"升壓站設備, 機電統包"
1519,華城,MSFT/OpenAI,Data Centers (資料中心),預估成長 (外銷),變壓器 (AI伺服器電力)
1519,華城,Priv.,Construction/Commercial (商辦),約 2-3% (配電),"配電盤, 變壓器"
1519,華城,Auto/Gov,EV Charging Clients (車廠/公部門),約 2-3% (充電營運),充電設備建置 (標案/合作)
1519,華城,Global,Other Export Markets (其他外銷),約 2-3% (外銷),變壓器
1519,華城,Priv.,Others (其他),約 1-2% (其他),其他
1532,勤美,TRW/Conti,Auto Parts Clients (車用零件),約 35-38% (金屬成型),"剎車卡鉗, 轉向節, 渦輪增壓殼 (歐美車廠)"
1532,勤美,Home Buyers,CMP Midtown Buyers (勤美之森住戶),約 30-35% (建設高峰),豪宅建案 (台中勤美之森交屋)
1532,勤美,Daikin/Panasonic,Compressor Clients (壓縮機),約 10-12% (金屬成型),"冷氣壓縮機鑄件, 泵浦零件"
1532,勤美,John Deere,Mechanical/Agri Parts (機械農機),約 5-8% (金屬成型),"油壓零件, 農機鑄件"
1532,勤美,Consumers,Park Lane Consumers (勤美誠品),約 3-4% (生活創新),"商場運營, 零售 (勤美誠品/金典)"
1532,勤美,Consumers,Hotel Guests (飯店住客),約 1-2% (生活創新),"全國大飯店, 金典酒店, 洲際酒店"
1532,勤美,Pujhen,Construction Projects (其他建案),約 2-3% (建設),璞真建設其他建案
1532,勤美,Tesla/Byton,EV Components (電動車),約 2-3% (趨勢),電動車減速箱殼體
1532,勤美,Local Auto,China Market (大陸內銷),約 15-20% (包含在車用),天津/蘇州廠鑄件
1532,勤美,Priv.,Others (其他),約 1-2% (其他),其他
1533,車王電,Global AM,Auto Electronics AM Market (售後市場),約 35-40% (車電),"引擎點火模組, 發電機電壓調節器, 感測器"
1533,車王電,2237/Bus,Wah Hong / Bus Operators (電動巴士),約 38-40% (電巴),RAC電動巴士 (台灣客運業者如首都/大都會)
1533,車王電,Durofix,Digital Tools Clients (數位工具),約 12-13% (工具),"電動起子, 扳手 (Durofix自有品牌/代工)"
